,CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
1175,04/17/2021,11:35,,,40.732254,-73.99636,"(40.732254, -73.99636)",WEST 8 STREET,,,1.0,0.0,0,0,1,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4409058,Bike,Bike,,,
1222,04/18/2021,19:30,BROOKLYN,11217.0,40.68008,-73.971405,"(40.68008, -73.971405)",BERGEN STREET,CARLTON AVENUE,,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,4408923,Bike,Bike,,,
2093,04/22/2021,18:00,MANHATTAN,10001.0,40.747894,-73.989174,"(40.747894, -73.989174)",AVENUE OF THE AMERICAS,WEST 31 STREET,,1.0,0.0,0,0,1,0,0,0,Passing or Lane Usage Improper,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,,,,4410046,Bike,Bike,,,
2551,04/22/2021,14:30,MANHATTAN,10023.0,40.776016,-73.98724,"(40.776016, -73.98724)",WEST 66 STREET,WEST END AVENUE,,0.0,0.0,0,0,0,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Failure to Yield Right-of-Way,,,,4410308,Bike,Bike,,,
2944,03/21/2021,13:38,,,,,,QUEENSBORO BRIDGE OUTER ROADWAY ,,,1.0,0.0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,4400618,Bike,Bike,,,
3402,04/24/2021,18:15,MANHATTAN,10036.0,40.760925,-73.99454,"(40.760925, -73.99454)",WEST 44 STREET,10 AVENUE,,0.0,0.0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4411212,Bike,Bike,,,
4231,04/29/2021,22:41,MANHATTAN,10022.0,40.757072,-73.96986,"(40.757072, -73.96986)",3 AVENUE,EAST 52 STREET,,1.0,0.0,0,0,1,0,0,0,Following Too Closely,Unspecified,,,,4411838,Bike,Bike,,,
5300,05/01/2021,10:55,,,,,,,,77        WEST DRIVE,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4412624,Bike,Bike,,,
5410,05/02/2021,20:25,MANHATTAN,10065.0,40.764988,-73.96116,"(40.764988, -73.96116)",2 AVENUE,EAST 66 STREET,,1.0,0.0,0,0,1,0,0,0,Driver Inexperience,Unspecified,,,,4412727,Bike,Bike,,,
5502,05/02/2021,17:40,,,,,,,,80        WEST DRIVE,1.0,0.0,0,0,1,0,0,0,Unspecified,Unspecified,,,,4412626,Bike,Bike,,,
7952,05/11/2021,18:25,,,,,,,,87        EAST DRIVE,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4415922,Bike,Bike,,,
8376,05/13/2021,20:40,,,,,,,,73        WEST DRIVE,1.0,0.0,0,0,1,0,0,0,Traffic Control Disregarded,Unspecified,,,,4416387,Bike,Bike,,,
8826,05/10/2021,16:43,,,,,,WILLIAMSBURG BRIDGE INNER ROADWA,,,3.0,0.0,0,0,3,0,0,0,Unsafe Lane Changing,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified,,,4415260,Bike,Bike,Bike,,
9119,05/11/2021,13:45,,,,,,,,102       WEST DRIVE,1.0,0.0,0,0,1,0,0,0,Turning Improperly,Unspecified,,,,4415677,Bike,Bike,,,
11417,05/19/2021,17:44,,,,,,EAST LAKE DRIVE,LINCOLN ROAD DRIVE,,1.0,0.0,0,0,1,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified,,,,4418279,Bike,Bike,,,
12534,05/23/2021,0:35,,,40.799976,-73.958626,"(40.799976, -73.958626)",CENTRAL PARK WEST,,,1.0,0.0,0,0,1,0,0,0,Unsafe Lane Changing,Unspecified,,,,4419308,Bike,Bike,,,
13218,05/25/2021,20:00,,,,,,,,85        EAST DRIVE,1.0,0.0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4420363,Bike,Bike,,,
